MARCA,SECTOR / PRODUCTO,INTERNO IVR,INTERNO OPERADOR,TELEFONO,TELEFONO INTERIOR,TELEFONO EXTERIOR,OBSERVACIONES / PRESTADOR
Mastercard,Habilitaciones Santander (172) / Comafi (199),7768,,4379-7768,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
Mastercard,Referidos Autorizaciones Santander (172) / Comafi (199),7769,,4379-7769,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
Mastercard,Standard (Classic) y Gold BANCOR (220),,670192,0810-222-6267,,,"Telefono de atencion propio de Bancor. Dependiendo de la opcion que seleccione el socio, la llamada sera derivada a nuestro Centro de Servicios."
Mastercard,Platinum BANCOR (220),,670193,0810-222-6267,,,"Telefono de atencion propio de Bancor. Dependiendo de la opcion que seleccione el socio, la llamada sera derivada a nuestro Centro de Servicios."
Mastercard,Black (Signature) BANCOR (220),,670193,0810-777-2663,,,"Telefono de atencion propio de Bancor. Dependiendo de la opcion que seleccione el socio, la llamada sera derivada a nuestro Centro de Servicios."
BSF Carrefour,Classic BSF Carrefour (332),,670192,0810-122-7788,,,Este numero de telefono corresponde a Carrefour. Los socios se comunican a Carrefour y desde alli son derivados hacia nuestro Centro de Servicios para la atencion de las gestiones que correspondan.
Mastercard,BSF Carrefour Mastercard (532),,670192: Standard (Classic) y Gold / 670193: Platinum y Black (Signature),0810-122-7788,,54-11-4378-8686 (Call Collect),Este numero de telefono corresponde a Carrefour. Los socios se comunican a Carrefour y desde alli son derivados hacia nuestro Centro de Servicios para la atencion de las gestiones que correspondan.
Mi Carrefour,Tarjeta Prepaga Mi Carrefour,,,0810-122-7788,,,Este numero de telefono corresponde a Carrefour. Los socios se comunican a Carrefour y desde alli son derivados hacia nuestro Centro de Servicios para la atencion de las gestiones que correspondan.
Mastercard,Mastercard,,,0800-555-0507,,1-636-722-8882,Telefono de atencion propio de Mastercard.
Mastercard,Concierge (Platinum y Black),,,0800-266-1370,,1-636-722-8882,Telefono de atencion propio de Mastercard.
Mastercard,Denuncias,,,CABA y GBA: (011) 4340-5700.,0810-999-5700,(011) 4340-5656 (por cobro revertido),Telefono de atencion propio de Mastercard.
Mastercard,Servicio de asistencia al Viajero (prestador AXA Assistance),,,0800-266-1613,,001-636-722-8882,Telefono de atencion propio del prestador.
Multimarca,IVR Encuesta Socios,#3070,,,,,Orden de derivacion: 1) Desde Telesoft. 2) Interno IVR (si Telesoft no funciona). Para DENUNCIAS: 1) Interno IVR (no derivar por Telesoft).
Multimarca,Clave UNICA,,48305,,,,"Socio solicita la Clave Unica Telefonica. Es un codigo de 6 digitos que permite a los socios gestionar mas rapidamente en nuestro Centro de Servicios, reduciendo tiempos de llamado."
Multimarca,Para HABILITACIONES / SERVICIOS WEB / COMPRAS REFERIDAS / CONFIRMACIONES ASSIST CARD.,,6397,,,,"Servicios con atencion las 24 HORAS, TODOS LOS DIAS."
Multimarca,Para OTRAS GESTIONES que no poseen un interno especifico.,,6397,,,,Servicios con atencion de LUNES a VIERNES (dias habiles) de 9:00 a 21:00 HORAS.
Multimarca,Solicitud de tarjeta adicional.,,(014) PROVINCIA = 67028 / (015) ICBC = 67023 / (034) PATAGONIA = 67022 / RESTO DE LOS BANCOS = Se debe comunicar con el Banco emisor.,,,,"Ante pedido del Titular de Cuenta, transferi al interno que corresponda, segun Banco emisor. SPEECH: ""Sr. / Sra., por favor aguarde un momento. Lo vamos a comunicar con un representante del Banco para dar curso a su solicitud...""."
Multimarca,Banco emisor.,,Derivar al Banco emisor.,,,,"1) Aumento definitivo del Limite de Compra. 2) Modificacion de datos (nombre, DNI, domicilio). 3) Consulta por programa de puntos. 4) Modificaciones en la forma de pago del resumen de Cuenta (Debito de Saldo Total por Pago Minimo o a la inversa, Stop Debit). 4) Reposicion de tarjeta de DEBITO no recibida (ante denuncia por extravio / robo o ante bloqueo por seguridad)."
Multimarca,Ingles,,6427,,,,Para derivar la llamada a un operador que habla idioma ingles.
Multimarca,CAR (Centro de Analistas de Riesgo),,4113,,,,
Multimarca,Tokenizacion wallets (billeteras Apple Pay y Google Pay),,3130,4379-5403,,,"De lunes a viernes, las 24 horas."
Multimarca (Visa / Amex),Debitos Automaticos,,6444 (Classic y Gold) / 670174 (Up Scale Experto) / 670175 (Platinum Experto),,,,
Visa,Viajeros,,1) Mis Tarjetas (*).,,,,Registro de viajes para tarjeta de debito o credito. (*) En Mis Tarjetas es exclusivo para Visa.
Visa,Clave PIN,,1) Mis Tarjetas (*).,,,,Socio solicita clave para adelantos de efectivo en cajeros automaticos. (*) En Mis Tarjetas es exclusivo para Visa. Nacion (511) y Macro (067) no tienen habilitada la opcion para generar clave PIN ingresando en Mis Tarjetas.
Visa,Flota,,,4379-3490,,,
Visa,Servicio de Pagos - Centro de Debitos Automaticos,7700 - Opcion 1: Alta de debito automatico. Opcion 2: Baja de debito automatico. Opcion 3: Stop Debit de debito automatico.,,4379-7700,0810-666-7700,,
Visa,Commercial Cards (Business / Corporate / Purchasing / Distribution),,6430,4379-3330,"0810-666-3330 (para todo el pais, excepto desde Capital Federal y Gran Buenos Aires)",,
Visa,Confirmaciones Servicio de Asistencia en Viaje,,,4379-3220,,,
Visa,Classic,3400,,4379-3400,"0810-666-3400 (para todo el pais, excepto desde Capital Federal y Gran Buenos Aires)",,
Visa,Consummer Finance Banco Hipotecario (044),,,0810-222-0013 (linea exclusiva),,,
Visa,Consummer Finance otros Bancos,,,,,,
Visa,Desde BRASIL (exterior directo) - CSV Call Collect,,,,,0800-891-8472,
Visa,Desde EE.UU. (exterior directo) - CSV Call Collect,,,,,1877-233-8472,EEUU / Estados Unidos
Visa,Desde URUGUAY (exterior directo) - CSV Call Collect,,,,,000-4054-039,
Visa,Desde CHILE (exterior directo) - CSV Call Collect,,,,,123-0020-9890,
Visa,Desde ESPAÑA (exterior directo) - CSV Call Collect,,,,,900-9954-86,
Visa,Desde MEXICO (exterior directo) - CSV Call Collect,,,,,01800-123-7066,Mejico
Visa,Desde COLOMBIA (exterior directo) - CSV Call Collect,,,,,0800-954-0634,
Visa,Desde PERU (exterior directo) - CSV Call Collect,,,,,0800-55-841,
Visa,Desde ALEMANIA (exterior directo) - CSV Call Collect,,,,,0800-183-3697,
Visa,Desde BELGICA (exterior directo) - CSV Call Collect,,,,,0800-10542,
Visa,Desde REINO UNIDO (exterior directo) - CSV Call Collect,,,,,0800-101-6985,
Visa,Desde PANAMA (exterior directo) - CSV Call Collect,,,,,00800-054-7634,
Visa,Desde ISRAEL (exterior directo) - CSV Call Collect,,,,,1809-452-634,
Visa,"Desde FRANCIA, ST. PIERRE Y MIQUELON (exterior directo) - CSV Call Collect",,,,,0800-903-476,
Visa,Desde PARAGUAY (exterior directo) - CSV Call Collect,,,,,009-800-542-0143,
Visa,Desde COSTA RICA (exterior directo) - CSV Call Collect,,,,,0800-054-2059,
Visa,Desde BOLIVIA (exterior directo) - CSV Call Collect,,,,,800-101-396,
Visa,Desde SUIZA (exterior directo) - CSV Call Collect,,,,,0800-564-197,
Visa,Desde PUERTO RICO (exterior directo) - CSV Call Collect,,,,,1844-871-6308,
Visa,Desde GRECIA (exterior directo) - CSV Call Collect,,,,,00800-5412-634,
Visa,Desde JAPON (exterior directo) - CSV Call Collect,,,,,00-5315-30006,
Visa,Desde ECUADOR (exterior directo) - CSV Call Collect,,,,,1800-000-477,
Visa,Desde AUSTRIA (exterior directo) - CSV Call Collect,,,,,0800-298366,
Visa,Desde NUEVA ZELANDA (exterior directo) - CSV Call Collect,,,,,0800-480-360,
Visa,Desde AUSTRALIA (exterior directo) - CSV Call Collect,,,,,1800-56-4541,
Visa,Desde CHINA (exterior directo) - CSV Call Collect,,,,,400-8423-213,
Visa,Desde EMIRATOS ARABES (exterior directo) - CSV Call Collect,,,,,8000-320-0005,
Visa,Desde SINGAPUR (exterior directo) - CSV Call Collect,,,,,800-321-1170,
Visa,Desde HONG KONG (exterior directo) - CSV Call Collect,,,,,800-96-0138,
Visa,Desde ITALIA (exterior directo) - CSV Call Collect,,,,,800-561937,
Visa,Desde TAILANDIA (exterior directo) - CSV Call Collect,,,,,1800-011-80,
Visa,Desde SUDAFRICA (exterior directo) - CSV Call Collect,,,,,0800-982-614,
Visa,Desde HUNGRIA (exterior directo) - CSV Call Collect,,,,,068-0021128,
Visa,Desde GUATEMALA (exterior directo) - CSV Call Collect,,,,,1800-300-0148,
Visa,"Desde PORTUGAL, AZORES Y MADEIRAS (exterior directo) - CSV Call Collect",,,,,800-854-010,
Visa,Desde HOLANDA (exterior directo) - CSV Call Collect,,,,,0800-0228-353,
Visa,Desde VENEZUELA (exterior directo) - CSV Call Collect,,,,,0800-104-9167,
Visa,Desde FILIPINAS (exterior directo) - CSV Call Collect,,,,,800-132-20038,
Visa,Desde FINLANDIA (exterior directo) - CSV Call Collect,,,,,0800-771-302,
Visa,Desde TAIWAN (exterior directo) - CSV Call Collect,,,,,801-491-105,
Visa,CSV Call Collect - desde el exterior (resto de los paises),3434,6434,,,54-11-4379-3434 (Call Collect: solicitar cobro revertido por operadora internacional),
Visa,Denuncias,,6433,4379-3333,0810-666-3368 (todo el pais),,Extravio o robo de tarjeta de credito o debito.
Visa,Denuncias Visa Debito - Red Link,,,4319-5465,0800-888-5465,,Telefono de atencion propio de Red Link.
Visa,Denuncias Visa Debito - Red Banelco (Centro de Servicios Visa),,6433,4379-3333,0810-666-3368 (todo el pais),,
Visa,Denuncias Visa Debito - Red Banelco (Centro de Servicios Banelco),,,4320-2500,,,Desde EE.UU. y Canada: 1-800-396-9665 (sin cargo) / Desde el resto del mundo: 1 (303) 967-1098
Visa,Gold,4444,,4378-4444,0810-666-4653 (desde todo el pais),,
Visa,Habilitacion de tarjetas,3440,,4379-3440,0810-999-8472,,Orden de derivacion: 1) IVR. 2) Operador.
Visa,Habilitacion de Tarjetas - Signature,,,0800-222-7446 o desde telefonos moviles al *8472.,,(54 11) 4378-8300.,
Visa,Servicios Web - Sitio Mis Tarjetas,,,4378-4410,"0810-666-4410 (para todo el pais, excepto desde Capital Federal y Gran Buenos Aires)",,Socio desea obtener clave de acceso a Mis Tarjetas. Orden de derivacion: 1) Mis Tarjetas. 2) Operador.
Visa,Plan V (Financiacion),2151,6199 (Classic y Gold) / 670174 (Up Scale Experto) / 670175 (Platinum Experto),0810-222-2868,,,Orden de derivacion: ALTAS - 1) Mis Tarjetas. 2) IVR. 3) Operador. BAJA / CANCELACION: 1) Mis Tarjetas. 2) Operador.
Visa,Platinum,6200,6464,4379-6200,0800-333-7528 (todo el pais),,
Visa,Signature - Commercial Cards Signature - Priority Pass,4475,6446,0800-222-7446 (SIGNATURE) - Desde telefonos moviles: *8472.,,54-11-4378-8300 (Call Collect: solicitar cobro revertido por operadora internacional).,
Visa,Tarjeta Regalo - Recargable,3261,,0810-222-7342,,,
Visa,Rellamadores,,7760,,,,Cuando realices una transferencia al sector de Rellamadores es obligatorio aguardar a ser atendido e informar los datos del socio.
Visa,Platinum Gateway - Beneficios,,,,,EEUU y Canada: 1-800-396-9665,
Visa,Platinum Gateway - Beneficios,,#3044,,,Resto del mundo: 1-410-902-8022,
Visa,Platinum Rewards - Consultas,,#3042,0800-333-PLATINUM (7528),,,
Visa,Platinum Rewards - Redenciones,,,0800-333-9001 / 4370-8431,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa para otros Productos,,#3020,"0810-888-2747 (todos los dias, de 8 a 24)",,,"Para todos los Bancos, excepto aquellos que poseen telefonos exclusivos."
Visa,Servicio de Asistencia en Viaje - Para solicitar una prestacion en Argentina,,#3300,0800-888-8006 (llamada sin cargo),,,
Visa,Servicio de Asistencia en Viaje - Para solicitar una prestacion desde el exterior,,#3300,,,54-11-4379-1000 (llamada por cobro revertido),Estando en: cualquier lugar del mundo. Modalidad de la llamada: por cobro revertido (sin cargo para el socio). Debera comunicarse con la operadora internacional del pais en el que se encuentre y solicitar una llamada por cobro revertido. Para identificarse: el cliente debera indicar su Numero de Voucher (Venta Directa) o su Numero de Tarjeta (Servicio Capitado).
Visa,Servicio de Asistencia en Viaje Platinum - Signature - Signature Corporate - Para solicitar una prestacion en Argentina,,#3036,0800-777-0101 (llamada sin cargo),,,
Visa,Servicio de Asistencia en Viaje Platinum - Signature - Signature Corporate - Para solicitar una prestacion desde el exterior,,#3036,,,54-11-4379-1010 (llamada por cobro revertido),
Visa,Servicio de Asistencia en Viaje Platinum - Signature - Venta Directa,,#3020,0810-777-0101,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Banco Galicia,,,0-810-555-5555,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Banco Santander,,,0-810-888-8008,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Banco Provincia de Buenos Aires,,,0-810-444-7257,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Macro,,,0-810-888-0203,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Banco Comafi,,,0810-888-6282,,,
Visa,Servicio de Asistencia en Viaje - Venta Directa Banco Patagonia,,,0810-999-0914,,,
Visa,Concierge Personal - Platinum,,#3042,0-800-333-9001 (llamada sin cargo).,,(54-11) 4370-8431 (llamada por cobro revertido).,
Visa,Concierge Personal - Platinum - Linea Exclusiva para Banco Galicia,,#3042,0800-333-0323,,(54-11) 4379-6320 (llamada por cobro revertido),info@galiciaconcierge.com.ar
Visa,Concierge Personal - Platinum - Lineas exclusivas para Banco Santander,,#3042,0800-222-3643 (llamada sin cargo).,,(011) 4378- 5929 (llamada por cobro revertido),
Visa,Concierge Personal - Signature - Signature Corporate,,#3019,0-800-222-0203. /,,"Desde el exterior: (54 11) 4379-6320. / 001-800-396-9665 / 1-303-967-1098 (Cobro revertido, gratuito en EEUU)",
Visa,Reclamos: transacciones con Visa DEBITO que el socio desconoce o cuestiona.,,1) Para BBVA (017) y Macro (067 / 285): interno 6397. 2) Para Santander (072): interno 3464. 3) Para otras entidades: Banco emisor.,,,,
Visa,Seguros VISA,,"Ante consultas, solicitudes de información general o reclamos sobre los Seguros, los socios deben contactarse con la marca VISA.",,,,"Seguro de: Perdida de Equipaje, Demora de Equipaje, Compras, Precio Protegido, Garantia Extendida, Alquiler de Vehiculos, Accidentes en viaje."
Agronacion (411),Consultas,,,0810-666-2476,,,
Argenta,,,,Debe comunicarse con ANSES.,,,
Cabal,,,,Consultas:0800-777-2550 Denuncias:0800-777-2552,,Consultas:(+5411)4319-2550 Denuncias:(+5411)4319-2552,
Carta Franca,,,,4339-5544 / 4339-5555 (Denuncias),,,
Galicia Rural (415),Consultas,,,0810-777-3777,,,
IOMA (464),Consultas,,,,0221-4295900,,
Naranja (450),Socios,,#3050,0810-333-6272,,54 351-570-8979,
Naranja (450),Comercios / Autorizaciones,,#3033,0810-555-6272,,,
Nevada (455),Socios,,#3061,0810-333-9496,,,
Pactar (413) - Procampo (414),Consultas,,,0810-222-2776,,,
Provencred (121),Consultas y reclamos,,,0810-444-2484,,,
Red Aura (331),Consultas y reclamos,,,4796-8787,0810-122-8787,,
Tarjeta de Asignacion Familiar - Carrefour (591),Denuncias,,,4379-2404,,,
Tarjeta de Asignacion Familiar - Coto (590),Consultas,,,0810-999-3900,,,
Tarjeta de Asignacion Familiar - Coto (590),Denuncias,,,4379-6343,,,
Ticket Nacion (512),Consultas y reclamos,4082,,0810-666-4444,,,
